Timestamp: 2024-01-03T05:53:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-03T06:54:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-03T15:58:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T00:25:00Z, Latitude: 37.697084, Longitude: -121.867179, Barometric Pressure: 100, Engine Load: 0.314, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49636.1, Speed: 3
Timestamp: 2024-01-04T00:28:00Z, Latitude: 37.704239, Longitude: -121.811676, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49637.5, Speed: 0
Timestamp: 2024-01-04T00:33:00Z, Latitude: 37.70211, Longitude: -121.810936, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T00:38:00Z, Latitude: 37.703167, Longitude: -121.811562, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T01:38:00Z, Latitude: 37.701271, Longitude: -121.809349, Barometric Pressure: None, Engine Load: None, Intake Temp: 26, MAF: 15.03, Engine Speed: 1387.5, Throttle Position: 0.21568627450980393, Travelled Distance: None, Speed: 41
Timestamp: 2024-01-04T01:40:00Z, Latitude: 37.706875, Longitude: -121.797813, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49640.2, Speed: 48
Timestamp: 2024-01-04T01:41:00Z, Latitude: 37.706818, Longitude: -121.796814, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T01:42:00Z, Latitude: 37.703796, Longitude: -121.795235, Barometric Pressure: 100, Engine Load: 0.165, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49640.5, Speed: 43
Timestamp: 2024-01-04T01:43:00Z, Latitude: 37.701843, Longitude: -121.793304, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T01:45:00Z, Latitude: 37.701954, Longitude: -121.793266, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T03:46:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T04:47:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T05:47:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T06:48:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T07:48:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T08:49:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T09:49:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T10:50:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T12:51:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T14:52:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T15:52:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T16:53:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T18:54:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T21:55:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-04T23:56:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-05T00:20:00Z, Latitude: 37.697789, Longitude: -121.788662, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: None, Speed: None
Timestamp: 2024-01-05T00:21:00Z, Latitude: 37.702206, Longitude: -121.793495, Barometric Pressure: None, Engine Load: None, Intake Temp: 19, MAF: 5.23, Engine Speed: 976.5, Throttle Position: 0.1607843137254902, Travelled Distance: None, Speed: 0
Timestamp: 2024-01-05T00:22:00Z, Latitude: 37.702175, Longitude: -121.793549, Barometric Pressure: 101, Engine Load: 0.329, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49641.2, Speed: 3
Timestamp: 2024-01-05T00:23:00Z, Latitude: 37.702244, Longitude: -121.794426, Barometric Pressure: None, Engine Load: None, Intake Temp: None, MAF: None, Engine Speed: None, Throttle Position: None, Travelled Distance: 49641.3, Speed: 0
Timestamp: 2024-01-05T00:24:00Z, Latitude: 37.704098, Longitude: -121.795242, Barometric Pressure: 101, Engine Load: 0.294, Intake Temp: 20, MAF: 4.32, Engine Speed: 726.5, Throttle Position: 0.1568627450980392, Travelled Distance: 49641.5, Speed: 47
Timestamp: 2024-01-05T00:25:00Z, Latitude: 37.706753, Longitude: -121.796204, Barometric Pressure: None, Engine Load: None, Intake Temp: 20, MAF: 4.21, Engine Speed: 725, Throttle Position: 0.1568627450980392, Travelled Distance: None, Speed: 0
